2025-03-14 18:41:55 - Created directory: C:\Users\admin\Documents\projects\personal\file_syncronization\sync\New folder
2025-03-14 18:42:14 - Deleted file: C:\Users\admin\Documents\projects\personal\file_syncronization\sync\New folder
2025-03-14 18:49:01 - File created: .\sync\New folder
2025-03-14 18:50:59 - File created: C:\Users\admin\Documents\projects\personal\file_syncronization\sync\New folder
2025-03-14 18:51:02 - File modified: C:\Users\admin\Documents\projects\personal\file_syncronization\sync\New folder
2025-03-14 18:51:14 - File deleted: C:\Users\admin\Documents\projects\personal\file_syncronization\sync\New folder
2025-03-14 19:06:06 - File created: /Users/moritzbeste/projects/python/file_syncronization/sync/untitled folder
2025-03-14 19:07:36 - File deleted: /Users/moritzbeste/projects/python/file_syncronization/sync/untitled folder
2025-03-14 19:08:04 - File created: /Users/moritzbeste/projects/python/file_syncronization/sync/untitled folder
2025-03-14 19:09:24 - File created: /Users/moritzbeste/projects/python/file_syncronization/sync/untitled folder
2025-03-14 19:11:17 - File created: /Users/moritzbeste/projects/python/file_syncronization/sync/untitled folder
2025-03-14 19:12:17 - File deleted: /Users/moritzbeste/projects/python/file_syncronization/sync/untitled folder
2025-03-14 21:12:07 - File created: /Users/moritzbeste/projects/python/file_syncronization/sync/untitled folder
